"","year","month","date_of_month","day_of_week","autos"
"1",2000,1,1,6,9084.164797
"2",2000,1,2,7,8005.351443
"3",2000,1,3,1,11363.15841
"4",2000,1,4,2,13030.96211
"5",2000,1,5,3,12559.13465
"6",2000,1,6,4,12465.47702
"7",2000,1,7,5,12514.21325
"8",2000,1,8,6,8931.874385
"9",2000,1,9,7,7948.561112
"10",2000,1,10,1,11667.42695
"11",2000,1,11,2,12609.71104
"12",2000,1,12,3,12396.81118
"13",2000,1,13,4,11817.05914
"14",2000,1,14,5,12181.55712
"15",2000,1,15,6,8525.346174
"16",2000,1,16,7,7657.099575
"17",2000,1,17,1,10824.54832
"18",2000,1,18,2,12349.36281
"19",2000,1,19,3,12405.32262
"20",2000,1,20,4,12506.51997
"21",2000,1,21,5,11952.71399
"22",2000,1,22,6,8855.846756
"23",2000,1,23,7,7856.40946
"24",2000,1,24,1,11450.21917
"25",2000,1,25,2,12591.85911
"26",2000,1,26,3,12141.26688
"27",2000,1,27,4,12408.07425
"28",2000,1,28,5,11932.80992
"29",2000,1,29,6,8805.617132
"30",2000,1,30,7,7765.175391
"31",2000,1,31,1,11133.6585
"32",2000,2,1,2,12613.49626
"33",2000,2,2,3,12465.69029
"34",2000,2,3,4,12061.82064
"35",2000,2,4,5,12035.34067
"36",2000,2,5,6,8624.48279
"37",2000,2,6,7,7861.051025
"38",2000,2,7,1,11630.46229
"39",2000,2,8,2,12878.25186
"40",2000,2,9,3,12313.37175
"41",2000,2,10,4,12613.7547
"42",2000,2,11,5,12411.13103
"43",2000,2,12,6,8836.612871
"44",2000,2,13,7,7932.206182
"45",2000,2,14,1,12152.8617
"46",2000,2,15,2,13018.17007
"47",2000,2,16,3,12503.17547
"48",2000,2,17,4,12517.48696
"49",2000,2,18,5,12404.33489
"50",2000,2,19,6,8861.896551
"51",2000,2,20,7,7944.215172
"52",2000,2,21,1,10610.2308
"53",2000,2,22,2,12661.59189
"54",2000,2,23,3,12252.19572
"55",2000,2,24,4,12423.03805
"56",2000,2,25,5,12204.36001
"57",2000,2,26,6,9024.749161
"58",2000,2,27,7,7836.074396
"59",2000,2,28,1,11454.99353
"60",2000,2,29,2,11895.47051
"61",2000,3,1,3,12671.94049
"62",2000,3,2,4,12524.904
"63",2000,3,3,5,12391.41579
"64",2000,3,4,6,9053.15108
"65",2000,3,5,7,7733.916553
"66",2000,3,6,1,11376.31719
"67",2000,3,7,2,12418.50672
"68",2000,3,8,3,12336.01378
"69",2000,3,9,4,12614.96078
"70",2000,3,10,5,12151.77524
"71",2000,3,11,6,8822.031666
"72",2000,3,12,7,7937.238138
"73",2000,3,13,1,11157.63892
"74",2000,3,14,2,12773.94937
"75",2000,3,15,3,12427.59665
"76",2000,3,16,4,12430.48727
"77",2000,3,17,5,12383.08324
"78",2000,3,18,6,8676.843627
"79",2000,3,19,7,7781.903497
"80",2000,3,20,1,11594.48014
"81",2000,3,21,2,12690.00068
"82",2000,3,22,3,12270.83087
"83",2000,3,23,4,12395.97828
"84",2000,3,24,5,12326.13758
"85",2000,3,25,6,9155.80769
"86",2000,3,26,7,7814.300745
"87",2000,3,27,1,11292.50704
"88",2000,3,28,2,12649.09822
"89",2000,3,29,3,12077.23511
"90",2000,3,30,4,12071.00765
