Reference area,Source,Sex,Time,Total,Agriculture,Non-agriculture,
Afghanistan,LFS - Labour Force Survey,Total,2021,86.4,98.4,82.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: First quarter"
Afghanistan,LFS - Labour Force Survey,Male,2021,83.0,97.8,78.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: First quarter"
Afghanistan,LFS - Labour Force Survey,Female,2021,97.3,99.5,96.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: First quarter"
Albania,LFS - Labour Force Survey,Total,2012,66.6,97.6,40.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Male,2012,63.4,96.2,43.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Female,2012,70.6,98.9,33.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Total,2013,61.0,96.4,33.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Male,2013,58.9,93.7,38.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Female,2013,63.5,98.7,24.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Total,2014,65.6,99.6,41.0,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Male,2014,67.4,99.5,49.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Female,2014,63.3,99.7,27.6,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
Albania,LFS - Labour Force Survey,Total,2015,63.4,99.5,38.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
