"","Reference.area","Source","Sex","Time","Total","Agriculture","Non.agriculture","X"
"1","Afghanistan","LFS - Labour Force Survey","Total",2021,86.4,98.4,82.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Data reference period: First quarter"
"4","Albania","LFS - Labour Force Survey","Total",2012,66.6,97.6,40.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"7","Albania","LFS - Labour Force Survey","Total",2013,61,96.4,33.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"10","Albania","LFS - Labour Force Survey","Total",2014,65.6,99.6,41,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"13","Albania","LFS - Labour Force Survey","Total",2015,63.4,99.5,38.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"16","Albania","LFS - Labour Force Survey","Total",2016,61.6,99.5,36.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"19","Albania","LFS - Labour Force Survey","Total",2017,58.7,99.3,33.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"22","Albania","LFS - Labour Force Survey","Total",2018,57.9,98.9,33.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"25","Albania","LFS - Labour Force Survey","Total",2019,56.7,99.4,32.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"28","Angola","HIES - Questionnaire sur les Indicateurs de Base du Bien-être","Total",2011,84.3,99.8,68.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"31","Angola","LFS - Employment Survey","Total",2019,88.2,99.5,75.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Break in series: Methodology revised"
"34","Angola","LFS - Employment Survey","Total",2021,90.3,99.8,78.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"37","Argentina","LFS - Encuesta Permanente de Hogares, Urbano","Total",2011,48.1,62.3,48,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
"40","Argentina","LFS - Encuesta Permanente de Hogares, Urbano","Total",2012,48.2,59.2,48.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
"43","Argentina","LFS - Encuesta Permanente de Hogares, Urbano","Total",2013,47.8,64.8,47.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
"46","Argentina","LFS - Encuesta Permanente de Hogares, Urbano","Total",2014,47.2,57.4,47.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas 
-Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures."
"49","Argentina","LFS - Encuesta Permanente de Hogares, Urbano","Total",2017,48.3,18.9,48.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
"52","Argentina","LFS - Encuesta Permanente de Hogares, Urbano","Total",2018,48.5,17.4,48.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
"55","Argentina","LFS - Encuesta Permanente de Hogares, Urbano","Total",2019,49.7,31.5,49.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
"58","Argentina","LFS - Encuesta Permanente de Hogares, Urbano","Total",2020,46.8,26.4,46.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
"61","Argentina","LFS - Encuesta Permanente de Hogares, Urbano","Total",2021,48.9,28.8,49,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Geographical coverage: Main cities or metropolitan areas"
"64","Armenia","HIES - Households Living Conditions Survey","Total",2011,62.4,98.9,39.1,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
"67","Armenia","HIES - Households Living Conditions Survey","Total",2012,61.5,99.4,39,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
"70","Armenia","HIES - Households Living Conditions Survey","Total",2013,60.4,99.3,38.2,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
"73","Armenia","LFS - Household Labour Force Survey","Total",2014,59.1,99.5,37.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
"76","Armenia","LFS - Household Labour Force Survey","Total",2015,52.1,99,26.5,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
"79","Armenia","LFS - Household Labour Force Survey","Total",2016,49.9,99.4,24.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
"82","Armenia","LFS - Household Labour Force Survey","Total",2017,47.9,98.5,24.8,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
"85","Armenia","LFS - Household Labour Force Survey","Total",2018,56.4,81,30.3,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old 
-Break in series: Methodology revised"
"88","Armenia","LFS - Household Labour Force Survey","Total",2019,52.3,79.6,25.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
"91","Armenia","LFS - Household Labour Force Survey","Total",2020,49.3,76,19.9,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
"94","Armenia","LFS - Household Labour Force Survey","Total",2021,50.2,76,21,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing 
-Age coverage - maximum age: 75 years old"
"97","Australia","HIES - Household, Income and Labour Dynamics Survey","Total",2011,28.3,61.6,27.4,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
"100","Australia","HIES - Household, Income and Labour Dynamics Survey","Total",2012,27.6,67.3,26.7,"Notes

[8.3.1] Proportion of informal employment in total employment (%) 
-Repository: ILO-STATISTICS - Micro data processing"
