"year","month","date_of_month","day_of_week","autos"
2000,1,1,6,9084.60062090044
2000,1,2,7,8006.29961942731
2000,1,3,1,11362.5545926269
2000,1,4,2,13032.192645478
2000,1,5,3,12558.0227947173
2000,1,6,4,12466.9059202454
2000,1,7,5,12516.8385157291
2000,1,8,6,8932.53586317301
2000,1,9,7,7948.60888893455
2000,1,10,1,11666.8172937305
2000,1,11,2,12608.8217500751
2000,1,12,3,12397.2627297396
2000,1,13,4,11814.1633481489
2000,1,14,5,12180.3427091908
2000,1,15,6,8525.60400016784
2000,1,16,7,7658.58837192986
2000,1,17,1,10824.5125875575
2000,1,18,2,12350.9203184458
2000,1,19,3,12403.6346680151
2000,1,20,4,12505.2090714417
2000,1,21,5,11951.2427997434
2000,1,22,6,8856.44415211693
2000,1,23,7,7856.52443780221
2000,1,24,1,11449.6244365496
2000,1,25,2,12593.2781644675
2000,1,26,3,12143.7001950427
2000,1,27,4,12407.3726140717
2000,1,28,5,11933.1057457094
2000,1,29,6,8805.22446306314
2000,1,30,7,7763.44859896315
2000,1,31,1,11133.3443525094
2000,2,1,2,12614.5845564807
2000,2,2,3,12465.1348683949
2000,2,3,4,12062.858145216
2000,2,4,5,12034.5237741144
2000,2,5,6,8623.73476434772
2000,2,6,7,7862.27576666416
2000,2,7,1,11629.9611903759
2000,2,8,2,12878.2937055133
2000,2,9,3,12315.0798866488
2000,2,10,4,12612.7743165782
2000,2,11,5,12410.9353690069
2000,2,12,6,8836.28606685956
2000,2,13,7,7932.69432327501
2000,2,14,1,12150.6042051566
2000,2,15,2,13016.7517468935
2000,2,16,3,12504.7375155828
2000,2,17,4,12519.8778596769
2000,2,18,5,12407.7127707899
2000,2,19,6,8861.37322399429
2000,2,20,7,7943.91493248536
2000,2,21,1,10611.3129836663
2000,2,22,2,12664.2460927497
2000,2,23,3,12253.4023511477
2000,2,24,4,12423.6233588208
2000,2,25,5,12203.713644452
2000,2,26,6,9026.57062844888
2000,2,27,7,7836.51136563167
2000,2,28,1,11454.3567011696
2000,2,29,2,11894.6700941913
2000,3,1,3,12670.0915942571
2000,3,2,4,12523.5055511025
2000,3,3,5,12389.5346804527
2000,3,4,6,9053.03404281689
2000,3,5,7,7732.5207129183
2000,3,6,1,11375.717112579
2000,3,7,2,12420.8492437468
2000,3,8,3,12339.0510911586
2000,3,9,4,12614.9305219636
2000,3,10,5,12153.3820220639
2000,3,11,6,8821.58696735692
2000,3,12,7,7937.13127329649
2000,3,13,1,11156.4478104832
2000,3,14,2,12771.8625215575
2000,3,15,3,12427.4531835701
2000,3,16,4,12428.8886982211
2000,3,17,5,12383.9020575367
2000,3,18,6,8677.87677752646
2000,3,19,7,7779.6978676727
2000,3,20,1,11594.718327198
2000,3,21,2,12689.8583868689
2000,3,22,3,12271.8071615764
2000,3,23,4,12396.3161261708
2000,3,24,5,12327.6512678579
2000,3,25,6,9154.43534365336
2000,3,26,7,7816.13699992997
2000,3,27,1,11290.6212141042
2000,3,28,2,12650.0331860739
2000,3,29,3,12077.8072013855
2000,3,30,4,12071.3379482726
2000,3,31,5,11820.7249586425
2000,4,1,6,8388.51644415306
2000,4,2,7,7539.99488318819
2000,4,3,1,11397.9975694378
2000,4,4,2,12797.6818805238
2000,4,5,3,12208.3363455698
2000,4,6,4,12192.0788425921
2000,4,7,5,12213.3824472815
2000,4,8,6,8740.92441036241
2000,4,9,7,7758.87516402305
2000,4,10,1,11334.6659706556
2000,4,11,2,12848.8751767094
2000,4,12,3,12544.670978646
2000,4,13,4,11906.646138377
2000,4,14,5,12053.2562654777
2000,4,15,6,8885.09091295865
2000,4,16,7,7857.98450386147
2000,4,17,1,11321.7537725602
2000,4,18,2,12782.8333767098
2000,4,19,3,12560.2610590781
2000,4,20,4,12301.0267014929
2000,4,21,5,11255.0156211228
2000,4,22,6,8367.03749576499
2000,4,23,7,7482.89407239311
2000,4,24,1,11308.9623078052
2000,4,25,2,12490.4484537371
2000,4,26,3,12245.8436606588
2000,4,27,4,12234.2762440313
2000,4,28,5,11987.7906570702
2000,4,29,6,8702.03858097005
2000,4,30,7,7641.30150851114
2000,5,1,1,11618.6548126053
2000,5,2,2,12931.9396897113
2000,5,3,3,12259.6209650978
2000,5,4,4,12432.5116922155
2000,5,5,5,12539.6781859028
2000,5,6,6,8813.74558518267
2000,5,7,7,7797.75195208059
2000,5,8,1,11602.6108312667
2000,5,9,2,12744.1255728948
2000,5,10,3,12608.2133806939
2000,5,11,4,12441.561736794
2000,5,12,5,12132.1420876069
2000,5,13,6,8746.67752991754
2000,5,14,7,7616.63201322234
2000,5,15,1,11588.0702605372
2000,5,16,2,12896.795402404
2000,5,17,3,12727.2339265515
2000,5,18,4,12580.6285810705
2000,5,19,5,12174.1497679257
2000,5,20,6,8672.70351549861
2000,5,21,7,7886.59980971513
2000,5,22,1,11582.988104901
2000,5,23,2,13097.1127732988
2000,5,24,3,12667.455268773
2000,5,25,4,13025.7350104466
2000,5,26,5,12725.7553382058
2000,5,27,6,8989.33626827375
2000,5,28,7,7871.64282708376
2000,5,29,1,8271.8208507474
2000,5,30,2,11955.3316708337
2000,5,31,3,12942.9973650814
2000,6,1,4,13362.1563207878
2000,6,2,5,12695.0220728763
2000,6,3,6,8940.07548860166
2000,6,4,7,7983.64330005487
2000,6,5,1,11646.6714718585
2000,6,6,2,12764.4085960042
2000,6,7,3,12473.6996684707
2000,6,8,4,12750.6739044651
2000,6,9,5,12505.1110940164
2000,6,10,6,9135.3524810119
2000,6,11,7,8116.43918731915
2000,6,12,1,11847.1278020249
2000,6,13,2,12682.5391468045
2000,6,14,3,12849.2995836217
2000,6,15,4,12799.0578339292
2000,6,16,5,12727.5430004754
2000,6,17,6,9143.0250044036
2000,6,18,7,8162.66014733594
2000,6,19,1,11648.0943085023
2000,6,20,2,13015.2092201978
2000,6,21,3,12728.5233890184
2000,6,22,4,12807.7925837455
2000,6,23,5,12602.1045082046
2000,6,24,6,9093.08796865231
2000,6,25,7,8177.33387670342
2000,6,26,1,12162.2169059002
2000,6,27,2,13352.8130461476
2000,6,28,3,13031.5104019463
2000,6,29,4,13462.8603189089
2000,6,30,5,13223.5073125415
2000,7,1,6,9377.07044484375
2000,7,2,7,8100.36621084853
2000,7,3,1,11345.5823193453
2000,7,4,2,9549.39308992442
2000,7,5,3,12344.3696391268
2000,7,6,4,13853.0132320994
2000,7,7,5,13657.1953416553
2000,7,8,6,9630.59603232808
2000,7,9,7,8585.08670162608
2000,7,10,1,12419.7579979406
2000,7,11,2,13585.2880324462
2000,7,12,3,12825.9990640798
2000,7,13,4,12978.3661499463
2000,7,14,5,13231.6671395728
2000,7,15,6,9627.24918226497
2000,7,16,7,8421.75290243389
2000,7,17,1,12055.1068206161
2000,7,18,2,13663.3552503572
2000,7,19,3,12999.8769924717
2000,7,20,4,13170.7797710977
2000,7,21,5,13028.1762485826
2000,7,22,6,9461.46601882763
2000,7,23,7,8166.25674124268
2000,7,24,1,12127.0159590454
2000,7,25,2,13177.158293109
2000,7,26,3,12930.2486602602
2000,7,27,4,13155.1166023715
2000,7,28,5,12888.402851224
2000,7,29,6,9465.21239500877
2000,7,30,7,8443.6614564116
2000,7,31,1,11859.2544975084
2000,8,1,2,13356.0845591271
2000,8,2,3,12835.3782956935
2000,8,3,4,13093.6505306456
2000,8,4,5,12940.6490075079
2000,8,5,6,9398.9559547513
2000,8,6,7,8349.34983141917
2000,8,7,1,11864.425880468
2000,8,8,2,13695.0663129325
2000,8,9,3,13169.7027071536
2000,8,10,4,12951.9194438874
2000,8,11,5,12728.6610556942
